"Country","Year","Sex","Total","Age00_01","Age01_04","Age05_14","Age15_24","Age25_34","Age35_44","Age45_54","Age55_64","Age65above","Unspecified_Age"
"Guadeloupe",2011,"Female",216564.5,2296,10339,29812,24898,22568,33775.5,33515.5,25998,35658.5,0
"Martinique",2011,"Male",179750,2035.5,9410,26424.5,24072.5,16234,23812,28777,22054.5,28965.5,0
"Martinique",2011,"Female",210577.5,1988,9109.5,25937,23951,21417.5,31404.5,34440.5,26159,38158.5,0
"Panama",2018,"Male",2085950,37946,151232,372139,353303,315944,289459,241441,165690,196742,0
"Panama",2018,"Female",2072833,36296,144787,356789,341175,310461,285795,242901,172413,218512,0
"Bahrain",2008,"Male",676590,8060,32224,76617,96458,196832,142136,83730,27733,20860,0
"Bahrain",2008,"Female",426906,7934,31168,72955,76246,93449,71244,44224,16245,21375,0
"Bahrain",2014,"Male",806487,11043,40357,86539,100635,237952,160546,98376,50483,31599,0
"Bahrain",2014,"Female",508075,10336,38860,82452,78926,110838,80752,58351,30507,27389,0
"Bahrain",2010,"Male",764222,9144,36165,81414,103388,235591,160608,91624,33334,22098,0
"Bahrain",2010,"Female",464063,8965,34851,77140,80571,104368,75499,50210,19114,22310,0
"Bahrain",2011,"Male",741483,9591,37090,81209,101695,220691,152816,90139,34971,22872,0
"Bahrain",2009,"Male",731997,8819,34643,79180,102256,222448,154585,87973,29794,21118,0
"Bahrain",2009,"Female",446418,8596,33435,75122,80832,99580,72249,46586,17476,21138,0
"Bahrain",2011,"Female",453537,9233,35644,77270,75788,98138,72961,50621,20396,22719,0
"Brunei Darussalam",2011,"Female",199400,2879,13421,32900,37600,43300,30900,19600,11200,10479,0
"Brunei Darussalam",2010,"Male",219100,3760,15340,38400,41200,46600,34800,21900,10200,10660,0
"Brunei Darussalam",2012,"Female",193100,3000,12000,33200,35000,36500,31800,22000,12100,10500,0
"Brunei Darussalam",2012,"Male",206700,3000,13100,35300,37400,40600,33500,24200,12400,10200,0
"Brunei Darussalam",2018,"Female",209000,2816.802808,12283.19719,29400,37600,37600,33800,27300,18100,12916.802808,0
"Brunei Darussalam",2016,"Female",205846,2859,10771,31749,36199,36192,32176,25595,17384,15780,0
"Brunei Darussalam",2010,"Female",195300,3220,13080,32700,38200,42500,29200,18800,10100,10720,0
"Brunei Darussalam",2011,"Male",223300,3394,15406,38400,40900,47000,36100,23300,11400,10794,0
"Brunei Darussalam",2017,"Female",206100,2786.893289,11313.10671,29800,35600,37100,33000,26600,18100,14586.893289,0
"Brunei Darussalam",2016,"Male",216832,3123,11842,33895,39703,40880,33519,25374,16596,15023,0
"Brunei Darussalam",2017,"Male",223400,2934.120231,12065.87977,32400,40000,44200,37700,28000,16800,12234.120231,0
"Brunei Darussalam",2018,"Male",233400,2760.184868,12239.81513,32100,41500,47000,39900,29700,18100,12860.184868,0
"Cyprus",2008,"Male",387533,4709,18079,49044,64765,58499,51703,52349,42393,49677,0
"Cyprus",2008,"Female",403617,4405,16923,46407,61894,62348,58575,54262,43609,58025,0
"Cyprus",2009,"Male",397223,4914,18635,48319,66107,61663,52325,53533,44086,51504,0
"Cyprus",2009,"Female",415624,4692,17432,45750,63385,66001,60322,55902,45219,59992,0
"Cyprus",2010,"Male",406727,5039,19342,47682,67097,65092,52811,54430,45740,53445,0
"Cyprus",2010,"Female",427727,4836,18156,45354,64577,69866,61831,57369,46849,62054,0
"Cyprus",2011,"Male",413050,4873,19794,47189,67311,68773,54107,54648,46528,53730,0
"Cyprus",2011,"Female",435914,4717,18760,44757,64690,73838,64399,58144,47673,62210,0
"Cyprus",2012,"Male",420010,5269,20169,47222,66014,70596,55432,55184,47796,56638,0
"Cyprus",2012,"Female",443932,4832,19367,44613,63355,75365,65878,59545,49116,65222,0
"Cyprus",2013,"Male",419183,4700,20310,46914,62893,70521,55814,54779,48483,59469,0
"Cyprus",2013,"Female",442747,4578,19326,44407,59969,73849,65945,59901,49990,69360,0
"Cyprus",2014,"Male",414367,4874,19898,47104,60975,68555,54276,53547,47854,62158,0
"Cyprus",2014,"Female",438799,4426,19150,44760,59114,72330,64335,58150,49192,71768,0
"Cyprus",2015,"Male",409952,4781,19516,46906,58308,67482,54121,52250,47861,62416,0
"Cyprus",2015,"Female",433165,4321,18462,44693,58123,70765,62632,56343,49096,71082,0
"Cyprus",2016,"Male",413630,4749,19441,46807,58051,68167,55369,51556,48540,64621,0
"Cyprus",2016,"Female",436203,4553,18068,44871,58057,71307,62212,55607,50195,74040,0
"Cyprus",2017,"Male",421508,4779,19066,47846,56297,70536,57365,52513,49784,66976,0
"Cyprus",2017,"Female",442728,4491,18132,45975,58047,73768,62065,55104,51286,76480,0
"Cyprus",2018,"Male",427831,4757,19259,48166,54447,72485,59918,52939,50804,68704,0
"Cyprus",2018,"Female",448068,4532,18082,46408,57704,75302,62890,54986,52108,78767,0
"Cyprus",2019,"Female",449315,4729,18129,46149,57400,75839,64145,53203,52358,80127,0
"Cyprus",2020,"Male",437650,5173,19224,49504,54413,73889,62882,52050,52140,72221,0
"Cyprus",2020,"Female",458357,4715,18500,46587,55808,76845,68338,55162,53473,81680,0
"Cyprus",2019,"Male",431267,4770,19181,48240,54672,73306,61657,52062,51065,69774,0
"Hong Kong SAR",2008,"Male",3290200,24100,89900,349400,444700,460700,518400,609700,384000,433400,0
"Hong Kong SAR",2008,"Female",3667600,21700,83500,327600,453200,608300,678500,643900,377500,495100,0
"Hong Kong SAR",2009,"Male",3284800,23800,93900,328600,440700,455600,502700,615200,406500,441600,0
"Hong Kong SAR",2009,"Female",3688000,22200,86100,309200,444700,612500,666100,661600,404800,503000,0
"Hong Kong SAR",2010,"Male",3294300,25100,99100,312600,440200,453600,488700,615400,431900,452800,0
"Hong Kong SAR",2010,"Female",3729900,22900,90900,293600,439500,620500,661900,675600,434200,513700,0
"Hong Kong SAR",2011,"Male",3303000,27500,102000,296700,439000,455300,477200,608100,459000,465700,0
"Hong Kong SAR",2011,"Female",3768600,25300,94400,277600,436200,628800,658100,681300,463700,528500,0
"Hong Kong SAR",2012,"Male",3327300,26600,109700,284100,441600,454400,475700,597900,481200,482700,0
"Hong Kong SAR",2012,"Female",3822800,24400,101600,266500,435900,635600,666200,680900,487900,548200,0
"Hong Kong SAR",2013,"Male",3329900,22000,112200,277100,435000,453700,469300,584600,501000,497000,0
"Hong Kong SAR",2013,"Female",3849000,21200,104300,259700,428200,636100,666500,677400,510700,566100,0
"Hong Kong SAR",2014,"Male",3344500,25900,111500,277500,422300,457200,466500,568600,519100,521800,0
"Hong Kong SAR",2014,"Female",3885000,24100,104000,260500,415000,636800,667900,677000,531800,592000,0
"Hong Kong SAR",2015,"Male",3365600,28900,117300,281000,409200,459800,464500,549900,535000,548900,0
